source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ProteomeEdge]	factor value[Sample]
PRM_20260227_Project ALS _Plate2_H4	H	4	ALS_samples	88	RH4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H4	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 184	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H4.raw	PRM_20260227_Project ALS _Plate2_H4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H5	H	5	Control	89	RH5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H5	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 185	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H5.raw	PRM_20260227_Project ALS _Plate2_H5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	Control
PRM_20260227_Project ALS _Plate2_H6	H	6	ALS_samples	90	RH6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H6	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 186	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H6.raw	PRM_20260227_Project ALS _Plate2_H6.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H7	H	7	ALS_samples	91	RH7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H7	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 187	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H7.raw	PRM_20260227_Project ALS _Plate2_H7.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H8	H	8	Control	92	RH8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H8	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 188	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H8.raw	PRM_20260227_Project ALS _Plate2_H8.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	Control
PRM_20260227_Project ALS _Plate2_H9	H	9	ALS_samples	93	RH9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H9	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 189	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H9.raw	PRM_20260227_Project ALS _Plate2_H9.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H10	H	10	ALS_samples	94	RH10	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H10	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 190	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H10.raw	PRM_20260227_Project ALS _Plate2_H10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H11	H	11	ALS_samples	95	RH11	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H11	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 191	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H11.raw	PRM_20260227_Project ALS _Plate2_H11.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate2_H12	H	12	ALS_samples	96	RH12	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate2_H12	Homo sapiens	blood plasma	Plate2	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 192	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate2_H12.raw	PRM_20260227_Project ALS _Plate2_H12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A1	A	1	ALS_samples	1	RA1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A1	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 193	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A1.raw	PRM_20260227_Project ALS _Plate3_A1.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A2	A	2	ALS_samples	2	RA2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A2	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 194	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A2.raw	PRM_20260227_Project ALS _Plate3_A2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A3	A	3	Control	3	RA3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A3	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 195	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A3.raw	PRM_20260227_Project ALS _Plate3_A3.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	Control
PRM_20260227_Project ALS _Plate3_A4	A	4	ALS_samples	4	RA4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A4	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 196	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A4.raw	PRM_20260227_Project ALS _Plate3_A4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A5	A	5	ALS_samples	5	RA5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A5	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 197	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A5.raw	PRM_20260227_Project ALS _Plate3_A5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A6	A	6	ALS_samples	6	RA6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A6	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 198	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A6.raw	PRM_20260227_Project ALS _Plate3_A6.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A7	A	7	ALS_samples	7	RA7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A7	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 199	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A7.raw	PRM_20260227_Project ALS _Plate3_A7.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A8	A	8	ALS_samples	8	RA8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A8	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 200	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A8.raw	PRM_20260227_Project ALS _Plate3_A8.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A9	A	9	ALS_samples	9	RA9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A9	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 201	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A9.raw	PRM_20260227_Project ALS _Plate3_A9.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A10	A	10	ALS_samples	10	RA10	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A10	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 202	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A10.raw	PRM_20260227_Project ALS _Plate3_A10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A11	A	11	ALS_samples	11	RA11	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A11	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 203	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A11.raw	PRM_20260227_Project ALS _Plate3_A11.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_A12	A	12	ALS_samples	12	RA12	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_A12	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 204	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_A12.raw	PRM_20260227_Project ALS _Plate3_A12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B1	B	1	ALS_samples	13	RB1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B1	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 205	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B1.raw	PRM_20260227_Project ALS _Plate3_B1.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B2	B	2	ALS_samples	14	RB2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B2	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 206	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B2.raw	PRM_20260227_Project ALS _Plate3_B2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B3	B	3	ALS_samples	15	RB3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B3	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 207	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B3.raw	PRM_20260227_Project ALS _Plate3_B3.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B4	B	4	ALS_samples	16	RB4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B4	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 208	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B4.raw	PRM_20260227_Project ALS _Plate3_B4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B5	B	5	ALS_samples	17	RB5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B5	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 209	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B5.raw	PRM_20260227_Project ALS _Plate3_B5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B6	B	6	ALS_samples	18	RB6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B6	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 210	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B6.raw	PRM_20260227_Project ALS _Plate3_B6.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B7	B	7	ALS_samples	19	RB7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B7	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 211	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B7.raw	PRM_20260227_Project ALS _Plate3_B7.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B8	B	8	ALS_samples	20	RB8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B8	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 212	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B8.raw	PRM_20260227_Project ALS _Plate3_B8.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate3_B9	B	9	ALS_samples	21	RB9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate3_B9	Homo sapiens	blood plasma	Plate3	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 213	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate3_B9.raw	PRM_20260227_Project ALS _Plate3_B9.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
